,MAE
1069,0.75327265
1070,0.7532778
1071,0.753286
1072,0.7533412
1073,0.7533708
1074,0.7533878
1075,0.75339234
1076,0.7533927
1077,0.75339586
1078,0.75340295
1079,0.7534068
1080,0.75341046
1081,0.7534391
1082,0.75344396
1083,0.7534465
1084,0.7534476
1085,0.7534494
1086,0.7534519
1087,0.7534789
1088,0.7534818
1089,0.7535118
1090,0.7535197
1091,0.75352114
1092,0.7535338
1093,0.7535513
1094,0.7535767
1095,0.75359243
1096,0.75359535
1097,0.7536285
1098,0.7536302
1099,0.75365955
1100,0.75366163
1101,0.75366247
1102,0.7536665
1103,0.7536769
1104,0.75368124
1105,0.75370085
1106,0.7537111
1107,0.75372344
1108,0.753732
1109,0.7537429
1110,0.75378966
1111,0.7537966
1112,0.7538012
1113,0.7538052
1114,0.7538315
1115,0.75383234
1116,0.7538362
1117,0.75383687
1118,0.7538529
1119,0.7538531
1120,0.7538808
1121,0.7538866
1122,0.75389004
1123,0.75389534
1124,0.75391686
1125,0.75392526
1126,0.7539288
1127,0.75393724
1128,0.75394684
1129,0.75396466
1130,0.75397426
1131,0.7539764
1132,0.753978
1133,0.75399756
1134,0.7540096
1135,0.75402045
1136,0.7540235
1137,0.7540263
1138,0.7540569
1139,0.754058
1140,0.7540646
1141,0.75408256
1142,0.7540986
1143,0.75414014
1144,0.75414217
1145,0.7541459
1146,0.75414866
1147,0.75416017
1148,0.75417024
1149,0.7541879
1150,0.7541905
1151,0.75419456
1152,0.75420964
1153,0.754219
1154,0.75422263
1155,0.7542668
1156,0.75426865
1157,0.7542829
1158,0.754294
1159,0.7542967
1160,0.75429827
1161,0.75430334
1162,0.7543754
1163,0.75440055
1164,0.75440586
1165,0.75442255
1166,0.75442314
1167,0.75442874
1168,0.7544309
1169,0.7544317
1170,0.7544531
1171,0.7544604
1172,0.75446945
1173,0.75448203
1174,0.75448215
1175,0.7544884
1176,0.754495
1177,0.75451237
1178,0.75453633
1179,0.7545485
1180,0.7545492
1181,0.75455606
1182,0.7545566
1183,0.7545624
1184,0.7545908
1185,0.7545933
1186,0.75459576
1187,0.7545971
1188,0.754657
1189,0.7546751
1190,0.75468236
1191,0.7546986
1192,0.754709
1193,0.7547231
1194,0.75472397
1195,0.754725
1196,0.7547545
1197,0.7547563
1198,0.7547763
1199,0.7547915
1200,0.7548026
1201,0.7548043
1202,0.7548059
1203,0.75481075
1204,0.7548206
1205,0.75483453
1206,0.7548363
1207,0.75484264
1208,0.75485265
1209,0.75486284
1210,0.7548804
1211,0.7548965
1212,0.7549239
1213,0.75493366
1214,0.7549576
1215,0.75496554
1216,0.75496745
1217,0.75498915
1218,0.75502026
1219,0.7550367
1220,0.7550412
1221,0.7550487
1222,0.7551049
1223,0.75511116
1224,0.75511736
1225,0.7551175
1226,0.7551296
1227,0.75513315
1228,0.755138
1229,0.7551421
1230,0.75514644
1231,0.7551541
1232,0.7551609
1233,0.75516886
1234,0.75517225
1235,0.755177
1236,0.7551886
1237,0.7551956
1238,0.75520283
1239,0.75521076
1240,0.7552158
1241,0.75522166
1242,0.7552242
1243,0.75522536
1244,0.7552294
1245,0.7552345
1246,0.7552669
1247,0.75526696
1248,0.75527453
1249,0.75528353
1250,0.755297
1251,0.7552978
1252,0.7553041
1253,0.7553142
1254,0.7553246
1255,0.75533026
1256,0.7553324
1257,0.7553366
1258,0.7553643
1259,0.75538087
1260,0.75543797
1261,0.755462
1262,0.7554636
1263,0.75546396
1264,0.755466
1265,0.7554769
1266,0.7554998
1267,0.75551194
1268,0.75551575
1269,0.7555308
1270,0.7555651
1271,0.75558484
1272,0.755588
1273,0.7555999
1274,0.75560623
1275,0.75561464
1276,0.7556149
1277,0.75565374
1278,0.7556556
1279,0.75566536
1280,0.7556699
1281,0.7556705
1282,0.7556735
1283,0.75567853
1284,0.7557079
1285,0.755716
1286,0.7557173
1287,0.7557677
1288,0.75576836
1289,0.7557711
1290,0.7557779
1291,0.75581616
1292,0.7558599
1293,0.75586677
1294,0.7558687
1295,0.7558697
1296,0.7558841
1297,0.7558917
1298,0.75591207
1299,0.7559301
1300,0.7559895
1301,0.7559915
1302,0.7560268
1303,0.7560365
1304,0.7560414
1305,0.75608265
1306,0.7561073
1307,0.75613236
1308,0.7561405
1309,0.7561482
1310,0.7561522
1311,0.75615317
1312,0.7561587
1313,0.75615907
1314,0.7561758
1315,0.7561908
1316,0.7562123
1317,0.7562418
1318,0.75625443
1319,0.75625694
1320,0.75632405
1321,0.75632447
1322,0.7563343
1323,0.7563462
1324,0.7563527
1325,0.7563532
1326,0.7563608
1327,0.7563609
1328,0.7563649
1329,0.7563802
1330,0.7563859
1331,0.75638807
1332,0.756413
1333,0.7564231
1334,0.756425
1335,0.75644064
1336,0.7564595
1337,0.75646913
1338,0.7564803
1339,0.756481
1340,0.75649047
1341,0.75649095
1342,0.756511
1343,0.7565183
1344,0.75651884
1345,0.7565332
1346,0.75653654
1347,0.7565705
1348,0.75657344
1349,0.75658566
1350,0.7565987
1351,0.7566233
1352,0.75662756
1353,0.75665367
1354,0.7566721
1355,0.7566748
1356,0.75667596
1357,0.75668514
1358,0.75669026
1359,0.7566962
1360,0.75670815
1361,0.7567208
1362,0.7567332
1363,0.7567501
1364,0.7567881
1365,0.75681967
1366,0.7568307
1367,0.7568398
1368,0.756844
1369,0.75686127
1370,0.7568699
1371,0.7568756
1372,0.75687575
1373,0.7568777
1374,0.75687844
1375,0.756883
1376,0.756888
1377,0.75690615
1378,0.7569089
1379,0.7569322
1380,0.75693965
1381,0.7569404
1382,0.75695145
1383,0.7569633
1384,0.75696456
1385,0.75696874
1386,0.75698245
1387,0.75698316
1388,0.75699276
1389,0.75699604
1390,0.756999
1391,0.75703573
1392,0.7570384
1393,0.75705093
1394,0.75705385
1395,0.7570556
1396,0.75705755
1397,0.7570702
1398,0.757071
1399,0.757073
1400,0.7570856
1401,0.7570918
1402,0.7571026
1403,0.75714576
1404,0.7571473
1405,0.75715494
1406,0.75715744
1407,0.7571589
1408,0.7571828
1409,0.75718534
1410,0.7572019
1411,0.7572195
1412,0.75723
1413,0.7572376
1414,0.7572832
1415,0.75728697
1416,0.7572876
1417,0.75728935
1418,0.7572906
1419,0.75729245
1420,0.75729877
1421,0.7573055
1422,0.7573103
1423,0.75732636
1424,0.75737596
1425,0.75738823
1426,0.7573981
1427,0.75743383
1428,0.75744146
1429,0.75744706
1430,0.75746304
1431,0.7574631
1432,0.757469
1433,0.75747484
1434,0.7574931
1435,0.75750554
1436,0.7575062
1437,0.75752705
1438,0.75753486
1439,0.7575352
1440,0.7575361
1441,0.75754327
1442,0.7575443
1443,0.7575756
1444,0.7575959
1445,0.7576193
1446,0.7576344
1447,0.7576389
1448,0.75764763
1449,0.7576477
1450,0.7576512
1451,0.7576522
1452,0.7576616
1453,0.7576747
1454,0.757683
1455,0.75769216
1456,0.7577031
1457,0.7577078
1458,0.7577123
1459,0.7577172
1460,0.7577264
1461,0.75774103
1462,0.7577493
1463,0.757753
1464,0.75776374
1465,0.7577642
1466,0.757767
1467,0.75776756
1468,0.7577738
1469,0.75778294
1470,0.7577836
1471,0.75778663
1472,0.7577869
1473,0.7577874
1474,0.7577932
1475,0.7577973
1476,0.7578008
1477,0.7578148
1478,0.7578177
1479,0.75782585
1480,0.7578517
1481,0.7578538
1482,0.75785863
1483,0.7578719
1484,0.75787365
1485,0.7578751
1486,0.7578947
1487,0.75791335
1488,0.75791746
1489,0.75795317
1490,0.75797635
1491,0.7579862
1492,0.7579897
1493,0.75799793
1494,0.7580189
1495,0.7580436
1496,0.7580552
1497,0.758075
1498,0.7580896
1499,0.758123
1500,0.7581361
1501,0.7581438
1502,0.7581622
1503,0.7581913
1504,0.7582173
1505,0.75822574
1506,0.7582428
1507,0.7582535
1508,0.75825584
1509,0.7582851
1510,0.75829315
1511,0.758307
1512,0.75831383
1513,0.7583234
1514,0.75832546
1515,0.7583317
1516,0.7583337
1517,0.75836384
1518,0.75840306
1519,0.758408
1520,0.758435
1521,0.7584428
1522,0.75845003
1523,0.75845873
1524,0.7584606
1525,0.7584746
1526,0.7584749
1527,0.7585107
1528,0.75851905
1529,0.7585318
1530,0.7585368
1531,0.75854343
1532,0.75854504
1533,0.75855523
1534,0.75857186
1535,0.7585977
1536,0.7586273
1537,0.75864017
1538,0.7586464
1539,0.7586641
1540,0.75867885
1541,0.7586793
1542,0.75868475
1543,0.7586856
1544,0.7587065
1545,0.7587147
1546,0.75871676
1547,0.75871813
1548,0.7587194
1549,0.75872105
1550,0.7587235
1551,0.7587427
1552,0.75874394
1553,0.7587517
1554,0.7587664
1555,0.75876784
1556,0.7587715
1557,0.7587741
1558,0.7587784
1559,0.7587899
1560,0.7587911
1561,0.758816
1562,0.7588236
1563,0.7588272
1564,0.7588286
1565,0.758844
1566,0.7588458
1567,0.75885147
1568,0.75885504
1569,0.75885963
1570,0.7588633
1571,0.7588659
1572,0.7588735
1573,0.7588797
1574,0.7588892
1575,0.75893086
1576,0.75893426
1577,0.75893545
1578,0.75894463
1579,0.758962
1580,0.75897545
1581,0.75898415
1582,0.7589865
1583,0.75900286
1584,0.7590079
1585,0.759016
1586,0.7590207
1587,0.7590303
1588,0.75903106
1589,0.7590396
1590,0.7590566
1591,0.7590681
1592,0.7590724
1593,0.759086
1594,0.7590973
1595,0.759121
1596,0.75912887
1597,0.7591312
1598,0.7591346
1599,0.7591867
1600,0.7591956
1601,0.75920594
1602,0.7592268
1603,0.759231
1604,0.7592627
1605,0.75928813
1606,0.7592882
1607,0.7592897
1608,0.7593121
1609,0.7593438
1610,0.7593499
1611,0.75935
1612,0.75937235
1613,0.7593755
1614,0.7593766
1615,0.7593976
1616,0.7594348
1617,0.75944006
1618,0.75944775
1619,0.7594569
1620,0.75945693
1621,0.75949204
1622,0.7595224
1623,0.7595303
1624,0.7595472
1625,0.759552
1626,0.7595547
1627,0.75956404
1628,0.75956637
1629,0.7595707
1630,0.7595721
1631,0.7595832
1632,0.75958383
1633,0.7595885
1634,0.7596007
1635,0.7596018
1636,0.75964993
1637,0.7596536
1638,0.75967973
1639,0.75968146
1640,0.75970626
1641,0.75970894
1642,0.759721
1643,0.75975084
1644,0.7597614
1645,0.75976735
1646,0.75978583
1647,0.7597866
1648,0.75980026
1649,0.7598059
1650,0.75982386
1651,0.7598259
1652,0.7598287
1653,0.7598309
1654,0.75983405
1655,0.75983757
1656,0.75985473
1657,0.7598678
1658,0.7598783
1659,0.7598847
1660,0.7598945
1661,0.75991195
1662,0.7599337
1663,0.7599462
1664,0.7599563
1665,0.7599646
1666,0.75998294
1667,0.76000094
1668,0.76000726
1669,0.7600148
1670,0.7600291
1671,0.7600387
1672,0.76004106
